Dancer,judge,Dance,Score
124,C-SG,Slow Foxtrot,3
124,D-TPE,Slow Foxtrot,2
124,E-MY,Slow Foxtrot,2
124,F-TH,Slow Foxtrot,3
124,G-HK,Slow Foxtrot,2
124,H-CN,Slow Foxtrot,3
124,I-KR,Slow Foxtrot,3
125,A-UK,Slow Foxtrot,1
125,B-JP,Slow Foxtrot,1
125,C-SG,Slow Foxtrot,1
125,D-TPE,Slow Foxtrot,1
125,E-MY,Slow Foxtrot,1
125,F-TH,Slow Foxtrot,1
125,G-HK,Slow Foxtrot,1
125,H-CN,Slow Foxtrot,1
125,I-KR,Slow Foxtrot,2
101,A-UK,Quick Step,6
101,B-JP,Quick Step,6
101,C-SG,Quick Step,6
101,D-TPE,Quick Step,5
101,E-MY,Quick Step,6
101,F-TH,Quick Step,6
101,G-HK,Quick Step,5
101,H-CN,Quick Step,6
101,I-KR,Quick Step,6
102,A-UK,Quick Step,4
102,B-JP,Quick Step,4
102,C-SG,Quick Step,4
102,D-TPE,Quick Step,4
102,E-MY,Quick Step,4
102,F-TH,Quick Step,4
102,G-HK,Quick Step,4
102,H-CN,Quick Step,5
102,I-KR,Quick Step,4
107,A-UK,Quick Step,3
107,B-JP,Quick Step,3
107,C-SG,Quick Step,2
107,D-TPE,Quick Step,3
107,E-MY,Quick Step,2
107,F-TH,Quick Step,3
107,G-HK,Quick Step,2
107,H-CN,Quick Step,3
107,I-KR,Quick Step,2
121,A-UK,Quick Step,5
121,B-JP,Quick Step,5
121,C-SG,Quick Step,5
121,D-TPE,Quick Step,6
121,E-MY,Quick Step,5
121,F-TH,Quick Step,5
121,G-HK,Quick Step,6
121,H-CN,Quick Step,2
121,I-KR,Quick Step,5
124,A-UK,Quick Step,2
124,B-JP,Quick Step,2
124,C-SG,Quick Step,3
124,D-TPE,Quick Step,2
124,E-MY,Quick Step,3
124,F-TH,Quick Step,2
124,G-HK,Quick Step,3
124,H-CN,Quick Step,4
124,I-KR,Quick Step,3
125,A-UK,Quick Step,1
125,B-JP,Quick Step,1
125,C-SG,Quick Step,1
125,D-TPE,Quick Step,1
125,E-MY,Quick Step,1
125,F-TH,Quick Step,1
125,G-HK,Quick Step,1
125,H-CN,Quick Step,1
125,I-KR,Quick Step,1
