Pair,Judge,segment,Score
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Hideo Sugita-JPN,Short Program,11
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Marina Sanaya-RUS,Short Program,11
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Yang Jiasheng-CHN,Short Program,11
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Lucy Brennan-USA,Short Program,12
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Marie-Reine Le Gougne-FRA,Short Program,12
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Anna Sierocka-POL,Short Program,11
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Beno?t Lavoie-CAN,Short Program,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Vladyslav Petukhov-UKR,Short Program,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Sissy Krick-GER,Short Program,9
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Hideo Sugita-JPN,Short Program,13
Zhang Dan / Zhang Hao-CHN,Marina Sanaya-RUS,Short Program,10
Zhang Dan / Zhang Hao-CHN,Yang Jiasheng-CHN,Short Program,12
Zhang Dan / Zhang Hao-CHN,Lucy Brennan-USA,Short Program,13
Zhang Dan / Zhang Hao-CHN,Marie-Reine Le Gougne-FRA,Short Program,10
Zhang Dan / Zhang Hao-CHN,Anna Sierocka-POL,Short Program,12
Zhang Dan / Zhang Hao-CHN,Beno?t Lavoie-CAN,Short Program,10
Zhang Dan / Zhang Hao-CHN,Vladyslav Petukhov-UKR,Short Program,11
Zhang Dan / Zhang Hao-CHN,Sissy Krick-GER,Short Program,12
Zhang Dan / Zhang Hao-CHN,Hideo Sugita-JPN,Short Program,12
Pang Qing / Tong Jian-CHN,Marina Sanaya-RUS,Short Program,12
Pang Qing / Tong Jian-CHN,Yang Jiasheng-CHN,Short Program,10
Pang Qing / Tong Jian-CHN,Lucy Brennan-USA,Short Program,11
Pang Qing / Tong Jian-CHN,Marie-Reine Le Gougne-FRA,Short Program,11
Pang Qing / Tong Jian-CHN,Anna Sierocka-POL,Short Program,10
