Pair,Judge,segment,Score
Mariana Kautz / Norman Jeschke-GER,Marie-Reine Le Gougne-FRA,Free Skating,5
Mariana Kautz / Norman Jeschke-GER,Anna Sierocka-POL,Free Skating,5
Mariana Kautz / Norman Jeschke-GER,Beno?t Lavoie-CAN,Free Skating,5
Mariana Kautz / Norman Jeschke-GER,Vladyslav Petukhov-UKR,Free Skating,7
Mariana Kautz / Norman Jeschke-GER,Sissy Krick-GER,Free Skating,5
Mariana Kautz / Norman Jeschke-GER,Hideo Sugita-JPN,Free Skating,6
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Marina Sanaya-RUS,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Yang Jiasheng-CHN,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Lucy Brennan-USA,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Marie-Reine Le Gougne-FRA,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Anna Sierocka-POL,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Beno?t Lavoie-CAN,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Vladyslav Petukhov-UKR,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Sissy Krick-GER,Free Skating,4
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Hideo Sugita-JPN,Free Skating,4
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Marina Sanaya-RUS,Free Skating,2
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Yang Jiasheng-CHN,Free Skating,3
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Lucy Brennan-USA,Free Skating,3
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Marie-Reine Le Gougne-FRA,Free Skating,3
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Anna Sierocka-POL,Free Skating,3
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Beno?t Lavoie-CAN,Free Skating,2
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Vladyslav Petukhov-UKR,Free Skating,3
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Sissy Krick-GER,Free Skating,2
O?ga Best?ndigov? / Jozef Best?ndig-SVK,Hideo Sugita-JPN,Free Skating,3
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Marina Sanaya-RUS,Free Skating,3
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Yang Jiasheng-CHN,Free Skating,2
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Lucy Brennan-USA,Free Skating,2
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Marie-Reine Le Gougne-FRA,Free Skating,2
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Anna Sierocka-POL,Free Skating,2
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Beno?t Lavoie-CAN,Free Skating,3
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Vladyslav Petukhov-UKR,Free Skating,1
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Sissy Krick-GER,Free Skating,3
Nataliya Ponomaryova / Yevgeny Sviridov-UZB,Hideo Sugita-JPN,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Marina Sanaya-RUS,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Yang Jiasheng-CHN,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Lucy Brennan-USA,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Marie-Reine Le Gougne-FRA,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Anna Sierocka-POL,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Beno?t Lavoie-CAN,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Vladyslav Petukhov-UKR,Free Skating,2
Michela Cobisi / Ruben De Pr?-ITA,Sissy Krick-GER,Free Skating,1
Michela Cobisi / Ruben De Pr?-ITA,Hideo Sugita-JPN,Free Skating,2
Maria Krasiltseva / Artyom Znachkov-ARM,Marina Sanaya-RUS,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Yang Jiasheng-CHN,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Lucy Brennan-USA,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Marie-Reine Le Gougne-FRA,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Anna Sierocka-POL,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Beno?t Lavoie-CAN,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Vladyslav Petukhov-UKR,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Sissy Krick-GER,Free Skating,0
Maria Krasiltseva / Artyom Znachkov-ARM,Hideo Sugita-JPN,Free Skating,0
